"Инспектор, сменивший статус","Код НО инспектора, сменившего стат",Score,Experience,Qualification,p_SCHEMA,p_RISK_LONG,p_RISK_SHORT,p_TASK
12475-otrl-khoihl-irjvhbzi,2900,0.43285714285714283,0.08081435704730688,0.5136714999044497,0.0,0.0,0.5,0.5
12477-ymfg-ddmbhi-nlaskxnr,2315,0.0,0.4492770942635396,0.4492770942635396,0.0,0.0,0.5,0.5
12497-ipli-elubah-srtxbrns,3849,0.345,0.30321452982979497,0.648214529829795,0.0,0.0,0.5,0.5
12500-wuri-nphvcc-hhznxagz,7717,0.0,0.004598525808314824,0.004598525808314824,0.0,0.0,0.5,0.5
12537-psvr-ohsuhz-pkkyzblg,4800,0.6166666666666667,0.05073577143301605,0.6674024380996828,0.0,0.0,0.5,0.5
12540-fbgu-ninryu-bmdqummy,6320,0.4633333333333334,0.3317508845540279,0.7950842178873613,0.5,0.5,0.0,0.0
12541-bter-osocps-rbpszqur,9974,0.0,0.0025307919231093434,0.0025307919231093434,0.0,0.0,0.5,0.5
12548-iqwu-hialnp-fhplejkc,9403,0.0,0.08040402570874933,0.08040402570874933,0.0,0.0,0.5,0.5
12560-ktgv-wcoiji-jrmifygg,1800,0.36642857142857144,0.27436689468329306,0.6407954661118644,0.0,0.0,0.5,0.5
12565-jdzy-xmdkag-vncgczdf,7706,0.0,0.3459475988463466,0.3459475988463466,0.0,0.0,0.5,0.5
12566-dosb-eqcyzy-dxurnjmy,5005,0.4292307692307692,0.32598062975130027,0.7552113989820695,0.5,0.5,0.0,0.0
12569-zsxs-agknbk-mmuifecd,4300,0.5166666666666666,0.11213465473027989,0.6288013213969466,0.0,0.0,0.5,0.5
12573-bkwi-xybchs-fsybqzpt,6685,0.46405797101449275,0.35608961067376793,0.8201475816882606,0.5,0.5,0.0,0.0
12573-tesc-oncwfa-piintady,2000,0.5116666666666666,0.11862454374840004,0.6302912104150666,0.0,0.0,0.5,0.5
12574-wxku-farwyq-dbbfodnk,6500,0.46,0.16269984907963386,0.6226998490796338,0.0,0.0,0.5,0.5
